Student ID,Name,Gender,University,Room Type,Budget,District,Location,Area,Pin,Near Rail Station,Near University,Near School,Near Roadside,Availability of Mess,Availability of Pen Guest,Room Information
808,Aarna Bhavsar,Female,Barad-Bose,Double,2100,Howrah,Mango,Ramesh Road,717441,Yes,No,No,Yes,Yes,No,No
490,Yakshit Bobal,Male,Hari-Sastry,Double,2100,Kolkata,Kollam,Bora Chowk,353940,No,Yes,No,Yes,No,Yes,No
435,Aradhya Wadhwa,Male,Lall and Sons,Single,2300,Nadia,Bhubaneswar,Som Nagar,430158,Yes,Yes,Yes,No,Yes,No,No
815,Aayush Sinha,Female,"Bawa, Barad and Bal",Single,2400,Jalpaiguri,Baranagar,Guha Zila,516800,No,No,Yes,No,No,Yes,Yes
16,Kabir Vala,Male,Krishnan-Char,Double,2400,North 24 Parganas,Tiruppur,Mangat Road,416520,No,Yes,No,No,No,Yes,No
254,Faiyaz Raj,Female,"Sule, Bose and Vaidya",Copper,2400,Jhargram,Maheshtala,Shroff Zila,797119,No,No,No,Yes,Yes,No,Yes
336,Miraan Luthra,Male,Goyal-Saxena,Copper,2000,Birbhum,Davanagere,Sarkar Street,160900,Yes,Yes,Yes,No,No,Yes,Yes
123,Stuvan Tak,Male,"Hayre, Kota and Balay",Double,2500,Purba Bardhaman,Jamshedpur,Iyer Zila,649907,Yes,Yes,No,No,Yes,No,No
692,Divij Bajwa,Female,Kala Group,Single,2400,Jalpaiguri,Amravati,Khalsa Path,592743,Yes,No,No,Yes,Yes,No,Yes
684,Eva Balasubramanian,Male,Sheth-Swamy,Copper,2100,Jhargram,Nellore,Date Zila,653769,No,Yes,No,Yes,No,Yes,No
106,Anay Agate,Female,"Varkey, Ganesan and Thakur",Copper,2300,Paschim Bardhaman,Kolkata,Gala Path,526896,No,No,Yes,Yes,Yes,No,Yes
929,Devansh Basak,Female,Khanna-Barman,Double,2400,Uttar Dinajpur,Guntur,Chopra Chowk,272045,Yes,Yes,No,Yes,No,Yes,Yes
469,Shlok Aggarwal,Female,"Dayal, Biswas and Dey",Copper,2100,Purba Bardhaman,Bally,Bhatnagar Ganj,523186,No,Yes,No,Yes,No,Yes,No
922,Aayush Bumb,Male,"Choudhary, Gokhale and Chaudry",Single,2200,Cooch Behar,North Dumdum,Setty,725213,No,Yes,Yes,No,No,Yes,No
231,Zara Aurora,Female,Kanda Ltd,Single,2200,North 24 Parganas,Bathinda,Goswami Ganj,499056,No,Yes,No,Yes,No,Yes,No
791,Divyansh Gupta,Male,Goyal-Khare,Double,2400,Paschim Medinipur,Chandigarh,Chadha Street,322487,Yes,No,Yes,Yes,Yes,No,No
740,Manjari Ben,Male,Doshi and Sons,Single,2300,Jalpaiguri,Arrah,Setty Nagar,461542,Yes,Yes,Yes,Yes,No,Yes,Yes
279,Nishith Sethi,Male,Chandra LLC,Double,2100,South 24 Parganas,Jalgaon,Thakur Marg,875994,Yes,Yes,Yes,Yes,No,Yes,No
667,Alia Koshy,Female,Lata-Johal,Single,2100,Uttar Dinajpur,Bulandshahr,Handa Nagar,964653,No,Yes,No,Yes,No,Yes,No
576,Mahika Hayre,Male,Subramaniam Inc,Copper,2400,Kolkata,Kakinada,Wali Street,233487,No,No,Yes,No,No,Yes,Yes
732,Pranay Khanna,Female,Shanker-Ravi,Copper,2200,Bankura,Jorhat,Goda Marg,782972,No,Yes,Yes,Yes,Yes,No,No
311,Elakshi Bora,Female,"Das, Sawhney and Lalla",Double,2300,Malda,Bikaner,Iyer Zila,346136,No,No,Yes,No,Yes,No,Yes
254,Darshit Arora,Male,Thakkar LLC,Single,2200,Uttar Dinajpur,Madurai,Bhattacharyya,601702,No,No,Yes,No,No,Yes,Yes
295,Onkar Kar,Male,Srivastava Group,Copper,2000,Malda,Bhubaneswar,Zacharia Nagar,185387,Yes,Yes,No,No,No,Yes,Yes
176,Ira Varughese,Female,"Tiwari, Ramanathan and Majumdar",Double,2000,Birbhum,Burhanpur,Sheth Zila,372941,No,Yes,Yes,Yes,No,Yes,Yes
504,Madhav Jhaveri,Male,"Bakshi, Sastry and Chowdhury",Double,2500,Kalimpong,Amritsar,Malhotra Circle,291620,Yes,Yes,No,No,No,Yes,Yes
